City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed,Country,Date
0,Nikolskoye,59.7035,30.7861,64.87,99,100,9.42,RU,2022-08-02
1,Mahébourg,-20.4081,57.7,66.49,94,40,6.91,MU,2022-08-02
2,Avarua,-21.2078,-159.775,78.85,57,75,14.97,CK,2022-08-02
3,Agía Galíni,35.1,24.6833,79.39,57,0,8.55,GR,2022-08-02
4,Coruripe,-10.1256,-36.1756,71.37,77,21,7.63,BR,2022-08-02
5,Toora-Khem,52.4675,96.11,65.43,74,25,2.44,RU,2022-08-02
6,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,56,20,4.47,RU,2022-08-02
7,Northam,51.0333,-4.2167,66.38,95,100,15.05,GB,2022-08-02
8,Punta Arenas,-53.15,-70.9167,44.71,61,75,5.75,CL,2022-08-02
9,Anekal,12.7,77.7,74.8,91,100,4.94,IN,2022-08-02
10,Shalinskoye,55.7228,93.7594,55.78,95,100,4.72,RU,2022-08-02
11,Geraldton,-28.7667,114.6,61.21,63,75,19.57,AU,2022-08-02
12,Tasiilaq,65.6145,-37.6368,44.76,62,5,2.59,GL,2022-08-02
13,Hambantota,6.1241,81.1185,77.34,94,75,5.75,LK,2022-08-02
14,Hong Kong,22.2855,114.1577,89.04,76,82,4.0,HK,2022-08-02
15,Esperance,-33.8667,121.9,53.44,63,47,34.34,AU,2022-08-02
16,Yangi Marg`ilon,40.4272,71.7189,75.74,38,21,2.19,UZ,2022-08-02
17,Ushuaia,-54.8,-68.3,44.26,70,20,8.05,AR,2022-08-02
18,Barranca,-10.75,-77.7667,61.16,84,73,9.33,PE,2022-08-02
19,Hobart,-42.8794,147.3294,51.26,69,12,1.01,AU,2022-08-02
20,Busselton,-33.65,115.3333,53.51,62,100,27.0,AU,2022-08-02
21,Tiksi,71.6872,128.8694,44.37,81,100,0.58,RU,2022-08-02
22,Lompoc,34.6391,-120.4579,77.85,77,0,13.8,US,2022-08-02
23,Port Alfred,-33.5906,26.891,55.83,71,94,8.63,ZA,2022-08-02
24,Broken Hill,-31.95,141.4333,58.06,31,100,20.38,AU,2022-08-02
25,Teknāf,20.8624,92.3058,82.4,82,83,2.13,BD,2022-08-02
26,Bluff,-46.6,168.3333,54.45,62,4,21.61,NZ,2022-08-02
27,Sirte,31.2089,16.5887,80.65,73,0,6.4,LY,2022-08-02
28,Cape Town,-33.9258,18.4232,55.38,77,0,7.0,ZA,2022-08-02
29,Tuatapere,-46.1333,167.6833,55.53,62,5,13.35,NZ,2022-08-02
30,Dikson,73.5069,80.5464,41.49,87,100,7.16,RU,2022-08-02
31,Mossamedes,-15.1961,12.1522,56.84,63,100,9.51,AO,2022-08-02
32,Atar,20.5169,-13.0499,81.55,67,100,10.85,MR,2022-08-02
33,Beloha,-25.1667,45.05,64.44,75,78,10.25,MG,2022-08-02
34,Butaritari,3.0707,172.7902,81.61,78,47,21.77,KI,2022-08-02
35,Hilo,19.7297,-155.09,87.28,69,40,10.36,US,2022-08-02
36,Ostrovnoy,68.0531,39.5131,54.23,95,100,12.35,RU,2022-08-02
37,Mkushi,-13.6202,29.3939,55.47,72,0,8.66,ZM,2022-08-02
38,Mataura,-46.1927,168.8643,54.27,61,0,10.8,NZ,2022-08-02
39,Hermanus,-34.4187,19.2345,47.8,74,0,8.3,ZA,2022-08-02
40,Coquimbo,-29.9533,-71.3436,53.33,93,100,3.44,CL,2022-08-02
41,Port Keats,-14.25,129.55,82.69,43,85,2.77,AU,2022-08-02
42,Thompson,55.7435,-97.8558,64.56,48,40,4.61,CA,2022-08-02
43,Jamestown,42.097,-79.2353,76.59,79,100,9.22,US,2022-08-02
44,Atakent,40.8464,68.5067,73.96,36,85,3.04,KZ,2022-08-02
45,Torbay,47.6666,-52.7314,72.37,62,75,10.36,CA,2022-08-02
46,Rikitea,-23.1203,-134.9692,73.11,74,5,25.79,PF,2022-08-02
47,Mar del Plata,-38.0023,-57.5575,52.09,92,0,3.0,AR,2022-08-02
48,Saint Paul Harbor,57.79,-152.4072,63.91,48,75,12.66,US,2022-08-02
49,Chui,-33.6971,-53.4616,52.63,94,14,4.25,UY,2022-08-02
